Industry,Industry Total followers
Information Technology and Services,1025
Financial Services,285
Accounting,223
Computer Software,379
Higher Education,156
Banking,140
Management Consulting,135
Education Management,130
Internet,106
Oil & Energy,101
Hospital & Health Care,92
Telecommunications,83
Marketing and Advertising,80
Government Administration,75
Nonprofit Organization Management,73
E-Learning,71
Automotive,60
Pharmaceuticals,54
Food & Beverages,52
Research,52
Logistics and Supply Chain,50
Insurance,50
Consumer Goods,49
Retail,47
Electrical/Electronic Manufacturing,46
Mining & Metals,46
Mechanical or Industrial Engineering,45
Construction,41
Human Resources,36
International Trade and Development,35
Food Production,33
Real Estate,32
"Health, Wellness and Fitness",31
Investment Management,29
Professional Training & Coaching,27
Outsourcing/Offshoring,26
Business Supplies and Equipment,25
Civil Engineering,25
Utilities,25
Hospitality,24
Market Research,23
Information Services,22
Computer & Network Security,20
Renewables & Environment,20
Chemicals,20
Staffing and Recruiting,20
Apparel & Fashion,19
Industrial Automation,19
Aviation & Aerospace,18
Farming,18
Consumer Electronics,16
Investment Banking,16
Consumer Services,14
Airlines/Aviation,14
Maritime,14
Capital Markets,14
International Affairs,14
Transportation/Trucking/Railroad,13
Cosmetics,13
Import and Export,13
Building Materials,13
Civic & Social Organization,12
Design,12
Broadcast Media,12
Writing and Editing,12
Legal Services,11
Primary/Secondary Education,11
Venture Capital & Private Equity,11
Environmental Services,11
Security and Investigations,10
Wholesale,10
Architecture & Planning,10
Biotechnology,9
Medical Practice,9
Semiconductors,9
Entertainment,9
Sports,9
Packaging and Containers,9
Government Relations,9
Textiles,9
Individual & Family Services,8
Online Media,8
Medical Devices,8
Facilities Services,8
Defense & Space,8
Computer Networking,8
Furniture,8
Machinery,8
Law Practice,7
Program Development,7
Printing,7
Arts and Crafts,6
Music,6
Plastics,6
Media Production,6
Gambling & Casinos,6
Think Tanks,6
Graphic Design,6
Executive Office,6
