Job function,Job Function Total followers
Information Technology,896
Engineering,557
Business Development,491
Operations,332
Research,320
Finance,315
Accounting,302
Education,267
Sales,221
Marketing,136
Consulting,130
Administrative,120
Support,95
Human Resources,87
Community and Social Services,82
Program and Project Management,76
Media and Communication,65
Arts and Design,62
Healthcare Services,45
Quality Assurance,29
Military and Protective Services,29
Legal,28
Product Management,25
Entrepreneurship,22
Purchasing,22
Real Estate,20
