,Job function,Total views
0,Accounting,960
1,Administrative,436
2,Arts and Design,148
3,Business Development,2909
4,Community and Social Services,213
5,Consulting,629
6,Education,1376
7,Engineering,3139
8,Entrepreneurship,27
9,Finance,984
10,Healthcare Services,162
11,Human Resources,403
12,Information Technology,5484
13,Legal,37
14,Marketing,476
15,Media and Communication,204
16,Military and Protective Services,81
17,Operations,1301
18,Product Management,123
19,Program and Project Management,400
20,Purchasing,65
21,Quality Assurance,96
22,Real Estate,42
23,Research,1608
24,Sales,1009
25,Support,286
